,nome,porcentagem_desconto,preco,tipo
187,kingdom come deliverance  royal edition,0,69.99,padrao
188,shadow warrior 2,0,72.99,padrao
189,tom clancys ghost recon  wildlands,0,149.99,padrao
190,tales of zestiria,0,90.99,padrao
191,darksiders blade  whip franchise pack,0,148.55,padrao
192,marvel vs. capcom infinite deluxe,0,129.99,padrao
193,wizard of legend,0,30.99,padrao
194,children of morta,0,47.49,padrao
195,dead rising 3  apocalypse edition,0,84.99,padrao
196,monster hunter world iceborne master edition deluxe,0,149.99,padrao
197,star wars  dark forces,0,12.39,padrao
198,tom clancys ghost recon breakpoint,0,179.0,padrao
199,one piece burning blood,0,129.99,padrao
200,scribblenauts unlimited,94,4.5,padrao
201,frostpunk  season pass,0,78.02,dlc
202,xbox  cartao presente digital 200 reais,0,200.0,padrao
203,skul the hero slayer,0,37.99,padrao
204,legend of kay anniversary,0,36.99,padrao
205,middleearth shadow of war  expansion pass,94,3.5,dlc
206,motogp 21,0,93.99,padrao
207,lego marvel vingadores deluxe edition,94,6.5,padrao
208,xbox  cartao presente digital 50 reais,0,50.0,padrao
209,the universim,0,55.99,padrao
210,call of duty black ops (apenas p mac),0,71.99,padrao
211,sid meiers civilization vi anthology,0,230.99,padrao
212,xbox game pass ultimate  3 meses,0,134.99,padrao
213,lego indiana jones 2 the adventure continues,0,37.99,padrao
214,digimon story cyber sleuth complete edition,0,129.99,padrao
215,darksiders genesis,0,57.99,padrao
216,assassins creed odyssey,0,179.99,padrao
217,far cry primal digital apex edition,0,104.99,padrao
218,overcooked! 2,75,14.97,padrao
219,monster hunter rise sunbreak,0,169.9,dlc
220,batman arkham city  game of the year edition,80,17.99,padrao
221,star wars  the force unleashed ultimate sith edition,0,37.99,padrao
222,assassins creed valhalla,0,199.99,padrao
223,mortal kombat 11 kombat pack 2,75,14.99,dlc
224,castlevania lords of shadow 2  revelations,0,15.99,dlc
225,naruto shippuden ultimate ninja storm legacy,0,217.99,padrao
226,shovel knight pocket dungeon,0,37.99,padrao
227,lego batman 3 beyond gotham  premium edition,94,8.0,padrao
228,titan souls,0,24.99,padrao
229,nba 2k23,0,299.9,padrao
230,the lego movie  videogame,94,4.5,padrao
231,distortions,0,9.99,padrao
232,horizon chase turbo  summer vibes,0,5.49,dlc
233,far cry 3,0,59.99,padrao
234,graveyard keeper  game of crone,60,8.27,dlc
235,far cry 6  game of the year edition,0,399.99,padrao
236,tekken 7  definitive edition,0,529.59,padrao
237,jurassic world evolution 2  deluxe edition,0,127.99,padrao
238,one punch man a hero nobody knows  deluxe edition,0,229.9,padrao
239,one piece world seeker  deluxe edition,0,349.9,padrao
240,dont starve together starter pack 2023,0,16.59,dlc
241,far cry 6  gold edition,0,349.99,padrao
242,star wars rebellion,0,12.39,padrao
243,motogp 13,0,36.99,padrao
244,loop hero,0,34.99,padrao
245,dragon ball xenoverse,0,79.99,padrao
246,conan exiles isle of siptah edition,0,124.07,padrao
247,the walking dead michonne  a telltale miniseries,0,27.99,padrao
248,.hackg.u. last recode,0,129.9,padrao
249,lego star wars the force awakens  season pass,94,2.0,dlc
250,fifa 23  ultimate team  fifa points 2800,0,125.0,padrao
251,serious sam 4,0,75.49,padrao
252,kao the kangaroo round 2,0,4.49,padrao
253,the forgotten city,0,55.99,padrao
254,f.e.a.r.  ultimate shooter edition,0,16.99,padrao
255,dying light  classified operation bundle,75,1.62,dlc
256,bagdex  treinador,0,80.0,prevenda
257,tales of vesperia definitive edition,80,27.98,padrao
258,broforce,0,24.99,padrao
259,subnautica,40,34.79,padrao
260,middleearth shadow of war  the blade of galadriel story expansion,82,8.09,dlc
261,devil may cry 3  special edition,0,39.99,padrao
262,euro truck simulator 2  vive la france,0,44.99,dlc
263,star wars the force unleashed ii,0,37.99,padrao
264,xbox  cartao presente digital 15 reais,0,15.0,padrao
265,captain tsubasa rise of new champions,0,179.9,padrao
266,pc building simulator,0,37.99,padrao
267,ducktales remastered,0,29.99,padrao
268,destiny 2 lightfall + annual pass,32,202.49,dlc
269,destiny 2 bungie 30th anniversary pack,60,29.99,dlc
270,mortal kombat x  kombat pack,85,3.73,dlc
271,one piece pirate warriors 4  deluxe edition,0,239.9,padrao
272,super mombo quest,0,28.99,padrao
273,dandy ace,0,29.99,padrao
274,forager,0,37.99,padrao
275,horizon chase turbo,0,49.99,padrao
276,castlevania lords of shadow 2  armored dracula costume,0,2.19,dlc
277,star wars knights of the old republic ii  the sith lords,0,19.99,padrao
278,lego batman 3 beyond gotham season pass,90,2.79,dlc
279,far cry 4,0,89.99,padrao
280,castlevania lords of shadow 2  dark dracula costume,0,2.19,dlc
281,batman arkham origins  season pass,80,7.39,dlc
282,lego marvel super heroes 2  season pass,90,2.99,dlc
283,dragon ball fighterz,0,149.9,padrao
284,mega man 11,0,69.99,padrao
285,super bomberman r,0,150.0,padrao
286,destiny 2 legacy collection,50,74.99,padrao
287,ni no kuni wrath of the white witch remastered,80,25.99,padrao
