,nome,porcentagem_desconto,preco,tipo
216,euro truck simulator 2  special transport,65,4.26,dlc
217,monster hunter rise,52,66.99,padrao
218,euro truck simulator 2  heavy cargo pack,71,3.62,dlc
219,euro truck simulator 2  vive la france,75,11.24,dlc
220,batman arkham origins,0,89.99,padrao
221,euro truck simulator 2  going east!,75,6.24,dlc
222,enigma do medo  bundle do medo,12,105.0,prevenda
223,lego jurassic world,0,89.99,padrao
224,lego star wars the force awakens,0,89.99,padrao
225,dragon ball fighterz,0,149.9,padrao
226,shadow warrior 2,0,72.99,padrao
227,super bomberman r,0,150.0,padrao
228,moonlighter  between dimensions,0,14.49,dlc
229,devil may cry 5 deluxe + vergil,51,57.99,padrao
230,conan exiles,0,99.49,padrao
231,monster hunter world iceborne,53,41.99,dlc
232,euro truck simulator 2  scandinavia,75,11.24,dlc
233,mega man 11,67,23.09,padrao
234,inscryption,0,49.99,padrao
235,darksiders iii  deluxe edition,0,93.99,padrao
