nome,porcentagem_desconto,preço,tipo
LEGO Batman 3: Beyond Gotham Season Pass,-90%,"R$ 2,79",DLC
Far Cry 4,0,"R$ 89,99",Padrão
Castlevania: Lords of Shadow 2 - Dark Dracula Costume,0,"R$ 2,19",DLC
Batman: Arkham Origins - Season Pass,-80%,"R$ 7,39",DLC
LEGO Marvel Super Heroes 2 - Season Pass,-90%,"R$ 2,99",DLC
DRAGON BALL FighterZ,0,"R$ 149,90",Padrão
Mega Man 11,0,"R$ 69,99",Padrão
Super Bomberman R,0,"R$ 150,00",Padrão
Destiny 2: Legacy Collection,-50%,"R$ 74,99",Padrão
Ni no Kuni Wrath of the White Witch Remastered,-80%,"R$ 25,99",Padrão
The LEGO Movie 2 Videogame,-94%,"R$ 6,50",Padrão
Middle-earth Shadow of Mordor - GOTY Edition Upgrade,-75%,"R$ 4,99",DLC
DwarfHeim,0,"R$ 47,49",Padrão
RUSH: A Disney - PIXAR Adventure,0,"R$ 37,99",Padrão
Remember Me,0,"R$ 49,99",Padrão
Euro Truck Simulator 2 - Schwarzmüller Trailer Pack,0,"R$ 6,29",DLC
RiMS Racing,0,"R$ 109,99",Padrão
Urban Trial Freestyle,0,"R$ 13,99",Padrão
Euro Truck Simulator 2 - Mighty Griffin Tuning Pack,0,"R$ 9,99",DLC
The Last of Us - Part I - Digital Deluxe Edition,-10%,"R$ 268,90",Padrão
Starship Troopers - Terran Command,0,"R$ 57,99",Padrão
Minecraft: Java and Bedrock Edition,0,"R$ 129,00",Padrão
Mortal Kombat 11 Kombat Pack 1,-90%,"R$ 5,99",DLC
Crunchyroll Mega Fan - 1 mês,0,"R$ 19,99",Padrão
Crypt of the NecroDancer,0,"R$ 27,99",Padrão
Dying Light Definitive Edition,-80%,"R$ 24,99",Padrão
Dragon Ball Xenoverse 2,0,"R$ 159,90",Padrão
LEGO DC Super-Villains - Deluxe Edition,-94%,"R$ 12,75",Padrão
Elden Ring,0,"R$ 249,90",Padrão
The Walking Dead: A New Frontier,0,"R$ 28,99",Padrão
